484 cases, modality t1c (channel 2)
  25/484 cases -> 180 slices
[sr-tumor-aware] epoch 21/60 loss 0.0358
[sr-tumor-aware] epoch 22/60 loss 0.0355
[sr-tumor-aware] epoch 23/60 loss 0.0349
[sr-tumor-aware] epoch 24/60 loss 0.0345
[sr-tumor-aware] epoch 25/60 loss 0.0342
[sr-tumor-aware] epoch 26/60 loss 0.0340
[sr-tumor-aware] epoch 27/60 loss 0.0337
[sr-tumor-aware] epoch 28/60 loss 0.0332
[sr-tumor-aware] epoch 29/60 loss 0.0332
[sr-tumor-aware] epoch 30/60 loss 0.0328
[sr-tumor-aware] epoch 31/60 loss 0.0324
[sr-tumor-aware] epoch 32/60 loss 0.0322
[sr-tumor-aware] epoch 33/60 loss 0.0320
[sr-tumor-aware] epoch 34/60 loss 0.0319
[sr-tumor-aware] epoch 35/60 loss 0.0318
[sr-tumor-aware] epoch 36/60 loss 0.0316
[sr-tumor-aware] epoch 37/60 loss 0.0314
[sr-tumor-aware] epoch 38/60 loss 0.0312
[sr-tumor-aware] epoch 39/60 loss 0.0310
[sr-tumor-aware] epoch 40/60 loss 0.0310
[sr-tumor-aware] epoch 41/60 loss 0.0308
[sr-tumor-aware] epoch 42/60 loss 0.0307
[sr-tumor-aware] epoch 43/60 loss 0.0306
[sr-tumor-aware] epoch 44/60 loss 0.0304
[sr-tumor-aware] epoch 45/60 loss 0.0302
[sr-tumor-aware] epoch 46/60 loss 0.0302
[sr-tumor-aware] epoch 47/60 loss 0.0301
[sr-tumor-aware] epoch 48/60 loss 0.0300
[sr-tumor-aware] epoch 49/60 loss 0.0298
[sr-tumor-aware] epoch 50/60 loss 0.0297
[sr-tumor-aware] epoch 51/60 loss 0.0297
[sr-tumor-aware] epoch 52/60 loss 0.0298
[sr-tumor-aware] epoch 53/60 loss 0.0295
[sr-tumor-aware] epoch 54/60 loss 0.0295
[sr-tumor-aware] epoch 55/60 loss 0.0293
[sr-tumor-aware] epoch 56/60 loss 0.0293
[sr-tumor-aware] epoch 57/60 loss 0.0293
[sr-tumor-aware] epoch 58/60 loss 0.0292
[sr-tumor-aware] epoch 59/60 loss 0.0291
[sr-tumor-aware] epoch 60/60 loss 0.0290
saved checkpoints/demo_et.pt

