real data: 4185 slices from 368 cases
device=cuda train=4185 size=128 kind=cached
[sr-tumor-aware] epoch 35/60 loss 0.0292
[sr-tumor-aware] epoch 36/60 loss 0.0291
[sr-tumor-aware] epoch 37/60 loss 0.0290
[sr-tumor-aware] epoch 38/60 loss 0.0289
[sr-tumor-aware] epoch 39/60 loss 0.0288
[sr-tumor-aware] epoch 40/60 loss 0.0287
[sr-tumor-aware] epoch 41/60 loss 0.0287
[sr-tumor-aware] epoch 42/60 loss 0.0285
[sr-tumor-aware] epoch 43/60 loss 0.0284
[sr-tumor-aware] epoch 44/60 loss 0.0283
[sr-tumor-aware] epoch 45/60 loss 0.0283
[sr-tumor-aware] epoch 46/60 loss 0.0283
[sr-tumor-aware] epoch 47/60 loss 0.0282
[sr-tumor-aware] epoch 48/60 loss 0.0280
[sr-tumor-aware] epoch 49/60 loss 0.0280
[sr-tumor-aware] epoch 50/60 loss 0.0280
[sr-tumor-aware] epoch 51/60 loss 0.0279
[sr-tumor-aware] epoch 52/60 loss 0.0278
[sr-tumor-aware] epoch 53/60 loss 0.0279
[sr-tumor-aware] epoch 54/60 loss 0.0277
[sr-tumor-aware] epoch 55/60 loss 0.0277
[sr-tumor-aware] epoch 56/60 loss 0.0276
[sr-tumor-aware] epoch 57/60 loss 0.0275
[sr-tumor-aware] epoch 58/60 loss 0.0275
[sr-tumor-aware] epoch 59/60 loss 0.0275
[sr-tumor-aware] epoch 60/60 loss 0.0274
saved checkpoints/demo_brats.pt

